carbon_id,carbon_source
2,Dextrin
3,D-Maltose
4,D-Trehalose
5,D-Cellobiose
6,Gentiobiosse
7,Sucrose
8,D-Turanose
9,Stachyose
10,D-Raffinose
11,α-D-Lactose
12,D-Melibiose
13,β-Methyl-D-Glucoside
14,D-Salicin
15,N-Acetyl-D-Glucosamine
16,N-Acetyl-β-Dmannosamine
17,N-Acetyl-D-Galactosamine
18,N-AcetylNeuraminic Acid
19,α-D-Glucose
20,D-Mannose
21,D-Fructose
22,D-Galactose
23,3-MethylGlucose
24,D-Fucose
25,L-Fucose
26,L-Rhamnose
27,Inosine
28,D-Sorbitol
29,D-Mannitol
30,D-Arabitol
31,myo-Inositol
32,Glycerol
33,D-Glucose-6-PO4
34,D-Fructose-6-PO4
35,D-Aspartic Acid
36,D-Serine
37,Gelatin
38,Glycyl-L-Prolin
39,L-Alanine
40,L-Arginine
41,L-Aspartic Acid
42,L-Glutamic
43,L-Histidine
44,L-Pyroglutamic
45,L-Serine
46,Pectin
47,D-Galacturonic Acid
48,L-Galactonic Acid Lactone
49,D-Gluconic
50,D-Glucuronic
51,Glucuronamid
52,Mucic Acid
53,Quinic Acid
54,D-Saccharic
55,p-Hydroxy-Phenylacetic Acid
56,Methyl Pyruvate
57,D-Lactic Acid Methyl Ester
58,L-Lactic Acid
59,Citric Acid
60,α-Keto-Glutaric Acid
61,D-Malic Acid
62,L-Malic Acid
63,Bromo-Succinic
64,Tween 40
65,y-Amino-ButryricAcid
66,α-Hydroxy-ButyricAcid
67,"β-Hydroxy-D,L-ButyricAcid"
68,α-Keto-ButyricAcid
69,Acetoacetic Acid
70,Propionic Acid
71,Acetic Acid
72,Formic Acid
